model,granularity,subset,bits,mse,rmse,mae,r2,nz_mae,ny_mae,mse_fp32_table2,mse_baseline_measured,delta_mse_vs_table2,delta_mse_vs_measured,delta_mse_pct_vs_measured,delta_nz_mae_vs_measured,delta_ny_mae_vs_measured,weight_mean_rel_l2_err,weight_max_rel_l2_err,weight_max_abs_err,n_params_quantized,n_tensors_quantized,direction_norm_mean_dev,params,space,n_test_samples,wall_clock_sec,precision,gpu
s4_modulate_full,per_tensor,C,6,10.50846576412579,1.6178316036342626,1.064608635206387,0.9956584004282568,0.00889165409920197,0.0031490019155847927,10.567923254529283,10.524976797110309,-0.05945749040349391,-0.016511032984519503,-0.15687476849405216,5.8751293881432326e-05,1.0836719446929727e-05,0.04744774941953443,0.07951220173762816,0.04188535362482071,32768,8,0.0058972153105185,431141,physical,79829,34.29632210731506,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,C,4,12.317434957708269,1.7422816089360496,1.1928774922825882,0.995385888230049,0.009994806088807238,0.0034761684355298812,10.567923254529283,10.524976797110309,1.7495117031789853,1.7924581605979597,17.03051888047952,0.0011619032834867,0.0003380032393920183,0.1984003716932697,0.3323286424896457,0.176112562417984,32768,8,0.006781054987080577,431141,physical,79829,34.255924701690674,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,C,2,241.6345641082691,7.262464481683113,4.903782999321611,0.979295653971523,0.027978046703289194,0.006209096776913984,10.567923254529283,10.524976797110309,231.0666408537398,231.1095873111588,2195.820397196612,0.019145143897968654,0.0030709315807761215,0.7679451500974147,0.8873300715411414,0.8737492561340332,32768,8,0.06642784388627804,431141,physical,79829,34.25898838043213,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A+B+C,8,10.710879232237843,1.633535524317597,1.0804174973256069,0.9955043441694602,0.008934558412373573,0.0033169026659909933,10.567923254529283,10.524976797110309,0.14295597770856006,0.18590243512753446,1.7662978143436383,0.00010165560705303542,0.00017873746985313035,0.006915384834277442,0.019827145267630044,0.19567108154296875,81920,20,0.006179264746736598,431141,physical,79829,34.27127957344055,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A+B+C,6,12.635918501931078,1.773629923381407,1.22534450146854,0.9948974137049289,0.009678244854048156,0.0036883418690007736,10.567923254529283,10.524976797110309,2.067995247401795,2.1109417048207693,20.05649746800715,0.0008453420487276181,0.0005501766728629107,0.02761980147141337,0.07951220173762816,0.7924613952636719,81920,20,0.009123194815901459,431141,physical,79829,34.301870822906494,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A+B+C,4,40.81170495432103,3.1687038306502733,2.1728645777550613,0.9888799873152244,0.017685403011130824,0.005864464340039726,10.567923254529283,10.524976797110309,30.243781699791747,30.28672815721072,287.760521861921,0.008852500205810286,0.0027262991439018633,0.1173840865774477,0.3323286424896457,3.3277664184570312,81920,20,0.03190453891225204,431141,physical,79829,34.246790647506714,fp32,NVIDIA RTX A4000
s4_modulate_full,per_tensor,A+B+C,2,2868.5832502716444,25.432390654830407,21.70629339204008,0.6996687430672954,0.1335880947382542,0.02822999717381389,10.567923254529283,10.524976797110309,2858.015327017115,2858.058273474534,27155.007831078827,0.12475519193293366,0.025091831977676025,0.5129512143851234,0.8873300715411414,16.642242431640625,81920,20,0.2840605598719595,431141,physical,79829,34.21471881866455,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,A,8,10.765596593970642,1.6375306746684615,1.084267875671242,0.9954790668763909,0.008978642008470771,0.003332590496682967,10.567923254529283,10.524976797110309,0.19767333944135856,0.24061979686033297,2.2861788818992594,0.00014573920315023338,0.00019442530054510423,0.0017105141378806325,0.0019569632761814062,0.19138336181640625,32768,8,0.006151160019574659,431141,physical,79829,34.31371331214905,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,A,6,12.370717645248961,1.7516848995298264,1.2039961245432647,0.9950113070082061,0.00949024632006604,0.0036360530353028867,10.567923254529283,10.524976797110309,1.8027943907196775,1.845740848138652,17.536768809271013,0.0006573435147455026,0.0004978878391650237,0.007071749512900028,0.008281157959455094,0.7714118957519531,32768,8,0.009457445664414702,431141,physical,79829,34.214383602142334,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,A,4,22.678448308592422,2.4088034693712155,1.6836760478840038,0.9905275564188866,0.015372419860189963,0.0055209482153429894,10.567923254529283,10.524976797110309,12.110525054063139,12.153471511482113,115.47266797603694,0.006539517054869425,0.0023827830192051265,0.028784236369706263,0.03244988243454102,3.2386703491210938,32768,8,0.021595583262885295,431141,physical,79829,34.29175090789795,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,A,2,1433.371948553176,18.190700711270726,14.149144572955393,0.7827824577277298,0.12035758083444713,0.023576612741226955,10.567923254529283,10.524976797110309,1422.8040252986468,1422.8469717560656,13518.765876488356,0.11152467802912659,0.02043844754508909,0.14442607970997345,0.16240994942216097,16.211265563964844,32768,8,0.1573895316692249,431141,physical,79829,34.262320041656494,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,B,8,10.525920793254336,1.6184068192579684,1.065990600212558,0.9956680643007798,0.008833173458074212,0.0031393133365896853,10.567923254529283,10.524976797110309,-0.04200246127494722,0.0009439961440271816,0.008969104276660837,2.7065275367416097e-07,1.1481404518223423e-06,0.0016202296080213218,0.0016416580451675648,0.005676925182342529,16384,4,0.005938881101064772,431141,physical,79829,34.201725244522095,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,B,6,10.524154864842094,1.6183571229096239,1.0660391148871873,0.9956667570346888,0.008827223980984091,0.0031387016966735394,10.567923254529283,10.524976797110309,-0.04376838968718921,-0.0008219322682148089,-0.007809349930733102,-5.678824336446606e-06,5.365005356764742e-07,0.0066748206268571805,0.006759289349284748,0.022858470678329468,16384,4,0.005937593731211064,431141,physical,79829,34.2379412651062,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,B,4,10.569567378865543,1.6220219545184211,1.0709605746940014,0.995639432299724,0.008918210016148093,0.0031703650970281295,10.567923254529283,10.524976797110309,0.0016441243362592672,0.04459058175523367,0.4236644185997281,8.530721082755481e-05,3.219990089026658e-05,0.02755225434860426,0.02768260528587353,0.09398472309112549,16384,4,0.006075850446841117,431141,physical,79829,34.32533311843872,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,B,2,10.993020931671364,1.652463171864723,1.096720332241878,0.9954982328573243,0.008535200530306208,0.0033766852619953403,10.567923254529283,10.524976797110309,0.42509767714208024,0.46804413456105465,4.446984953824875,-0.0002977022750143294,0.00023852006585747734,0.13743050177171123,0.13850694723596751,0.46765756607055664,16384,4,0.00574769206482077,431141,physical,79829,34.31064009666443,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,C,8,10.531852255835322,1.6187956832664905,1.0664707960457964,0.9956667591572413,0.008838155497214152,0.003141957284783179,10.567923254529283,10.524976797110309,-0.0360709986939618,0.0068754587250126065,0.06532516752816313,5.252691893614311e-06,3.7920886453162057e-06,0.003956275064673369,0.004313657910814031,0.010349258780479431,32768,8,0.0059503149763673515,431141,physical,79829,34.30869507789612,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,C,6,10.525200666482935,1.6186272942272038,1.066402804362858,0.9956537653279884,0.00889189346901831,0.0031592427369538864,10.567923254529283,10.524976797110309,-0.042722588046348875,0.0002238693726255292,0.0021270296072005953,5.899066369777217e-05,2.1077540816023463e-05,0.015914731541433032,0.0172963847442553,0.04173016548156738,32768,8,0.00594364333861257,431141,physical,79829,34.33218550682068,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,C,4,10.687190856195315,1.6314424523239304,1.0810710791289242,0.9956121356754355,0.008834339277147628,0.0031609992007694513,10.567923254529283,10.524976797110309,0.11926760166603145,0.16221405908500586,1.5412296123022582,1.436471827090044e-06,2.2834004631588304e-05,0.0659855504497855,0.07073547603944454,0.16924989223480225,32768,8,0.005800017444525796,431141,physical,79829,34.30661702156067,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,C,2,15.789712906060606,1.965000538051756,1.3873204176441871,0.9950049789649237,0.009844684986308888,0.0035040719449494257,10.567923254529283,10.524976797110309,5.2217896515313225,5.264736108950297,50.02135596532393,0.0010117821809883503,0.0003659067488115627,0.3323658101387732,0.36036458181785797,0.8737492561340332,32768,8,0.00693110324378533,431141,physical,79829,34.29634642601013,fp32,NVIDIA RTX A4000
s4_modulate_full,per_channel,A+B+C,8,10.776414611921428,1.6382589134289822,1.0850866116703004,0.9954768753954066,0.008978744786518352,0.003337901503933224,10.567923254529283,10.524976797110309,0.20849135739214475,0.25143781481111915,2.388963127027062,0.0001458419811978147,0.00019973630779536108,0.0025907616026258646,0.004313657910814031,0.19138336181640625,81920,20,0.006173712842922765,431141,physical,79829,34.24444127082825,fp32,NVIDIA RTX A4000
